password,length,uppercase,lowercase,digits,special,strength
Wg54ZzAWp,9,4,3,2,0,Medium
w#%puAp,7,1,4,0,2,Medium
TO1yAl#U9G$o6,13,5,3,3,2,Strong
aW1ZmT,6,3,2,1,0,Medium
Ni3MDkX8cJP,11,6,3,2,0,Medium
sFwbq%,6,1,4,0,1,Medium
r8ehALV1,8,3,3,2,0,Medium
1ww%txUo,8,1,5,1,1,Strong
d@ANZVHP,8,6,1,0,1,Medium
dQd8es,6,1,4,1,0,Medium
f*W^vumbSCl1,12,3,6,1,2,Strong
o871&4r,7,0,2,4,1,Medium
aN88GqP*Um9@zqC,15,5,5,3,2,Strong
qsCkmZKnFCGxMQ,14,8,6,0,0,Medium
%%IqP2VseXgzx,13,4,6,1,2,Strong
seEuYP,6,3,3,0,0,Weak
99SyZ5,6,2,1,3,0,Medium
6H*4pJ$RR,9,4,1,2,2,Strong
GR!6mR%H,8,4,1,1,2,Strong
U2d*qmD,7,2,3,1,1,Medium
opLqSN53k#xY$,13,4,5,2,2,Strong
sCczT^t^^,9,2,4,0,3,Medium
&U*D^v,6,2,1,0,3,Medium
umvCt*2zJgZ,11,3,6,1,1,Strong
X%187PrMaj,10,3,3,3,1,Strong
NAih0rs9uF,10,3,5,2,0,Medium
u1YyFSjCJrZp,12,6,5,1,0,Medium
tA4sJPbp%N^n8D4,15,5,5,3,2,Strong
p*6tjRIfWG,10,4,4,1,1,Strong
72v!LC%,7,2,1,2,2,Medium
lUE@31h,7,2,2,2,1,Medium
nJJG$Q1GTkbm!F@C,16,8,4,1,3,Strong
3In!W%WfnmmpEU1,15,5,6,2,2,Strong
fS46%eZ3dBxd,12,3,5,3,1,Strong
QmL0d6GTSTFJ5gP6,16,9,3,4,0,Medium
HuAPZSw@lQT&DONm,16,10,4,0,2,Medium
ZO@xWzH,7,4,2,0,1,Medium
SR4UuvPcoyN#L,13,6,5,1,1,Strong
&wYjzllZHsR&TY,14,6,6,0,2,Medium
XnLkPC4f,8,4,3,1,0,Medium
tJd@CCFC4,9,5,2,1,1,Strong
BsbLFc941y0x%ZXH,16,6,5,4,1,Strong
H3VUEO*TjrP,11,7,2,1,1,Strong
&qm#8&OnD,9,2,3,1,3,Strong
C7Ig64@3ivc,11,2,4,4,1,Strong
5hS9siTiJGd!3r,14,4,6,3,1,Strong
B5N&MQD$0s*O,12,6,1,2,3,Strong
gTpji^,6,1,4,0,1,Medium
uyFwxd@pQlmZ,12,3,8,0,1,Medium
X0W8rRxmNTw3G@l,15,6,5,3,1,Strong
HZzDSkR5,8,5,2,1,0,Medium
^GchhVm,7,2,4,0,1,Medium
a^baPXNd,8,3,4,0,1,Medium
Viwy@x&BSmtVw4w,15,4,8,1,2,Strong
t4de&pNLnSx%vm,14,3,8,1,2,Strong
ytR6X5oiRFUsE,13,6,5,2,0,Medium
yZfTh9m%lP^&%,13,3,5,1,4,Strong
*zKPr5zL2Z3W,12,5,3,3,1,Strong
!d!nP9X,7,2,2,1,2,Medium
@Kh^fylN*w,10,2,5,0,3,Medium
Og&dgMXyT&g3$^w$,16,4,6,1,5,Strong
fBm6xCOjA@A,11,5,4,1,1,Strong
bfWAoLaEQwXDVZf,15,9,6,0,0,Medium
sFH2NAI0,8,5,1,2,0,Medium
10WJy!,6,2,1,2,1,Medium
bYf5qCjoou,10,2,7,1,0,Medium
ix&PvGYK&KKHn,13,7,4,0,2,Medium
Yzl@zq%,7,1,4,0,2,Medium
89noDe,6,1,3,2,0,Medium
xkiE3V4s4f#y,12,2,6,3,1,Strong
OfbtRGwS7,9,4,4,1,0,Medium
hYWtL#iCx,9,4,4,0,1,Medium
yQ4d4iF^KusOhoi0,16,4,8,3,1,Strong
&cvPVesnDaWahX,14,5,8,0,1,Medium
pCe*jc8XKX5E!GS,15,7,4,2,2,Strong
69t6&UCsKwXGuVc3,16,6,5,4,1,Strong
sf60*DZqTA,10,4,3,2,1,Strong
11654X7URPZr,12,5,1,6,0,Medium
AFByyU70VNBYs8,14,8,3,3,0,Medium
*5M0gzB,7,2,2,2,1,Medium
uX%3x4dAXwI,11,4,4,2,1,Strong
tZzt0O7Fq!O^emik,16,4,8,2,2,Strong
bgQlOT,6,3,3,0,0,Weak
tBNiUO58R,9,5,2,2,0,Medium
LMmutu1p,8,2,5,1,0,Medium
0u8JFos4mfrW8W,14,4,6,4,0,Medium
vcU4x5c!SRkVi,13,4,6,2,1,Strong
rMYtozPL,8,4,4,0,0,Medium
T@c1vUG,7,3,2,1,1,Medium
$J%d!OvgE,9,3,3,0,3,Medium
H53RfI6kQe,10,4,3,3,0,Medium
bcMWz8WX,8,4,3,1,0,Medium
IWQU$2,6,4,0,1,1,Medium
RqSHy!KIk5kO,12,6,4,1,1,Strong
ocqnFjwVitEljb,14,3,11,0,0,Medium
Rjt6Qn,6,2,3,1,0,Medium
phrzkxlla3DAgkX,15,3,11,1,0,Medium
^y8z@x8Kh4x,11,1,5,3,2,Strong
akwzHs*ypjyxPD,14,3,10,0,1,Medium
YL0#KB2G,8,5,0,2,1,Medium
E^aGKuihi@S,11,4,5,0,2,Medium
3k5blO,6,1,3,2,0,Medium
UiHO5T9V@M!O*yD,15,8,2,2,3,Strong
vfT077PZ775tsX1,15,4,4,7,0,Medium
rOWtZU,6,4,2,0,0,Weak
3wtxBm,6,1,4,1,0,Medium
Y8tIRz,6,3,2,1,0,Medium
@YuMJD,6,4,1,0,1,Medium
!@33u!hTn,9,1,3,2,3,Strong
P9LsE%@,7,3,1,1,2,Medium
1!bNuRN2p,9,3,3,2,1,Strong
q^KRVqV8ic5V1FA,15,7,4,3,1,Strong
DO8JRQyqPDE,11,8,2,1,0,Medium
!8cO$mXsP,9,3,3,1,2,Strong
^!7Ii5X,7,2,1,2,2,Medium
JsUh8FCaP,9,5,3,1,0,Medium
9sIO!O&zypL,11,4,4,1,2,Strong
y^#KFW,6,3,1,0,2,Medium
bMHAsLdd1kV7,12,5,5,2,0,Medium
5Wu4OnJ6,8,3,2,3,0,Medium
z6KuqPcpgP,10,3,6,1,0,Medium
9VsOWd3PYwPeKP,14,8,4,2,0,Medium
f$hq@iirtn%uElU,15,2,10,0,3,Medium
Rk0Ri@Z*h^1,11,3,3,2,3,Strong
YtlA5uoHDEhdgC9f,16,6,8,2,0,Medium
CDtr#O,6,3,2,0,1,Medium
XYc$L@d1ifz,11,3,5,1,2,Strong
eAD!aSkV$vYBt&a,15,6,6,0,3,Medium
KIV$XuzGQzPHYpK5,16,10,4,1,1,Strong
5$ZAxo,6,2,2,1,1,Medium
XnAzMB,6,4,2,0,0,Weak
MU7gDGB$dNbBxQA,15,9,4,1,1,Strong
XP6Yv!9KFjnad,13,5,5,2,1,Strong
gbJaM4WumgVBy2V,15,6,7,2,0,Medium
J1cMepM,7,3,3,1,0,Medium
H6Apd8wb,8,2,4,2,0,Medium
lE6IIc9,7,3,2,2,0,Medium
tBiYWde,7,3,4,0,0,Weak
370wbfiJK9zId,13,3,6,4,0,Medium
IyE5af3!DgKUlV68,16,6,5,4,1,Strong
uVV*sPS0wZV7SL,14,8,3,2,1,Strong
@*0U3lGr,8,2,2,2,2,Strong
T75*vfR#sR*,11,3,3,2,3,Strong
urAYk1o#*f%naGvD,16,4,8,1,3,Strong
Q!oPVY%YCS0nC6ty,16,8,4,2,2,Strong
#n@sjN,6,1,3,0,2,Medium
ZMA*mydcd,9,3,5,0,1,Medium
pAxjiG5p2T,10,3,5,2,0,Medium
ZbMRXVAM29f!e@OS,16,9,3,2,2,Strong
G8X&m2,6,2,1,2,1,Medium
S!dWe!l8G*lkFm6,15,4,6,2,3,Strong
RE8ePN5B0mbq,12,5,4,3,0,Medium
d#4i#x7JX&gGp%!,15,3,5,2,5,Strong
5LufLQ2o,8,3,3,2,0,Medium
tjz9!FaXwWfMxCR@,16,6,7,1,2,Strong
4omvrqd4@,9,0,6,2,1,Medium
3c^V*n18eJ3,11,2,3,4,2,Strong
2iilHT8Z#Frpdu,14,4,7,2,1,Strong
xz5*VH9,7,2,2,2,1,Medium
x0ofDzs,7,1,5,1,0,Medium
rYbVh$bo^I,10,3,5,0,2,Medium
^bMrOF9By899Bmw,15,5,5,4,1,Strong
*jsq$si9$jvF,12,1,7,1,3,Strong
0UCH0h3fPYdyVY5C,16,8,4,4,0,Medium
9$0uE%K@,8,2,1,2,3,Strong
3d1iksf,7,0,5,2,0,Weak
JYJ7RM&PN8$,11,7,0,2,2,Medium
Xr8Rl!R&%iGII,13,6,3,1,3,Strong
$DOPEySNyQ,10,7,2,0,1,Medium
0JH2yrLyU*PA7%,14,6,3,3,2,Strong
pLFARx@V,8,5,2,0,1,Medium
Y9I6&RsGj,9,4,2,2,1,Strong
pWYaiyG@6J,10,4,4,1,1,Strong
1zIg2!n83XOprx,14,3,6,4,1,Strong
UgfiJn&,7,2,4,0,1,Medium
qm2AfhboRJ,10,3,6,1,0,Medium
3EDCITEtcO,10,7,2,1,0,Medium
vXA*culI!,9,3,4,0,2,Medium
mF0CE6v,7,3,2,2,0,Medium
CJnaEN3X,8,5,2,1,0,Medium
BDmk044tXWc*I,13,5,4,3,1,Strong
!3^RPc@#X,9,3,1,1,4,Strong
AVsjWvZABOTZJ,13,10,3,0,0,Medium
LDW8dFi5c,9,4,3,2,0,Medium
SUWc!352l3GS,12,5,2,4,1,Strong
IUH9uvC%^,9,4,2,1,2,Strong
eWUgDlulg,9,3,6,0,0,Medium
k^G5tLs3Jx,10,3,4,2,1,Strong
0Nv%iDlgw,9,2,5,1,1,Strong
82vEczjimI,10,2,6,2,0,Medium
&p7Vwt&x,8,1,4,1,2,Strong
bPvI$c##h,9,2,4,0,3,Medium
rvg8tqEVJ7F6,12,4,5,3,0,Medium
oFufiWra,8,2,6,0,0,Medium
6^!Y*Z^7%T,10,3,0,2,5,Medium
ZG^0v#@qeAjVMo0,15,5,5,2,3,Strong
WMVdO!zcB3s5,12,5,4,2,1,Strong
rMYFscD4G!Z77VA,15,8,3,3,1,Strong
q1gFsmLVgS7X3,13,5,5,3,0,Medium
LT$9f9i,7,2,2,2,1,Medium
QyN#vbmsIhd,11,3,7,0,1,Medium
B%Vd5ZQ6SPKVg%,14,8,2,2,2,Strong
p4!3$e#itWQ4Iss,15,3,6,3,3,Strong
lXJYCffMb,9,5,4,0,0,Medium
y1y1t2GA,8,2,3,3,0,Medium
iueH9i,6,1,4,1,0,Medium
7v@ok6RV8,9,2,3,3,1,Strong
QP^t%JFCc3,10,5,2,1,2,Strong
IQ$M@ZgMGnsCC,13,8,3,0,2,Medium
7tm*#U0Z1,9,2,2,3,2,Strong
QMkFu9iOh3Z3t18,15,5,5,5,0,Medium
QVpNE!,6,4,1,0,1,Medium
YBZ3EKFvRuPWk,13,9,3,1,0,Medium
kkbt*2@,7,0,4,1,2,Medium
tga8wer,7,0,6,1,0,Weak
UTlfvNQmek,10,4,6,0,0,Medium
ayvY!n,6,1,4,0,1,Medium
L^jKri7Hu$,10,3,4,1,2,Strong
@CKeYRu,7,4,2,0,1,Medium
5T$NLZ1ENPAE7,13,9,0,3,1,Medium
tekhpsn5,8,0,7,1,0,Medium
tjKQOE93,8,4,2,2,0,Medium
pMA8eUuYySig,12,5,6,1,0,Medium
GXx@7Y,6,3,1,1,1,Medium
5rP2OxavG1l,11,3,5,3,0,Medium
QsfrE$@Jzx1eb,13,3,7,1,2,Strong
URVRan9#zBsQ#J^Y,16,8,4,1,3,Strong
z3f6L&6fKQc0i8,14,3,5,5,1,Strong
7DOC5HMeDGYH,12,9,1,2,0,Medium
^DfC5E,6,3,1,1,1,Medium
a3gjJ&*1c#Ng,12,2,5,2,3,Strong
B&KoEXQw*zb2k,13,5,5,1,2,Strong
F9cmqHvLG1u,11,4,5,2,0,Medium
AuUmKN*ijtpa,12,4,7,0,1,Medium
iIwo5Rp#&,9,2,4,1,2,Strong
$p9JkTlTwXy*G,13,5,5,1,2,Strong
liusRu,6,1,5,0,0,Weak
&y9SdRX3n$ZBvy,14,5,5,2,2,Strong
9iD@6XPVzfe5yaT,15,5,6,3,1,Strong
VR1aO7,6,3,1,2,0,Medium
rm%or8@,7,0,4,1,2,Medium
RpeOFN&2LenhMr,14,6,6,1,1,Strong
WtJR0j^Uj@,10,4,3,1,2,Strong
M0cdKPxlr^,10,3,5,1,1,Strong
mUomHQOpxBkDgJN,15,8,7,0,0,Medium
*k*MMmZfN1lQIg,14,6,5,1,2,Strong
iman9f8U,8,1,5,2,0,Medium
*nHuFkQvxnc8,12,3,7,1,1,Strong
qv$E0a%Iy,9,2,4,1,2,Strong
Eh3BXy^LSrZ0K,13,7,3,2,1,Strong
Fp1G@aoZyG,10,4,4,1,1,Strong
xpFqfDFf,8,3,5,0,0,Medium
YrBJoaA,7,4,3,0,0,Weak
b0nRA5s,7,2,3,2,0,Medium
pVP0W%J4,8,4,1,2,1,Strong
zsAXTyF!!J3gGa37,16,6,5,3,2,Strong
hh6^LA0o,8,2,3,2,1,Strong
sKJw2b8^i6,10,2,4,3,1,Strong
MC5zJ9XIu9C,11,6,2,3,0,Medium
rcE!XC$soIV%G,13,6,4,0,3,Medium
I%NZcin,7,3,3,0,1,Medium
KGF^x@^at,9,3,3,0,3,Medium
P1Ra9y,6,2,2,2,0,Medium
nN2GIzZT,8,5,2,1,0,Medium
W8zFPfR,7,4,2,1,0,Medium
8E&Q@D3cjnr,11,3,4,2,2,Strong
0fA70&jn4,9,1,3,4,1,Strong
CBBVmeGb,8,5,3,0,0,Medium
0pJ5AlREplG&Ef8,15,6,5,3,1,Strong
*va!B0Qml#,10,2,4,1,3,Strong
DJa2ST5vdmcJywu,15,5,8,2,0,Medium
fwzAzqL6h,9,2,6,1,0,Medium
5CrepAUM3tiu8Wav,16,5,8,3,0,Medium
e&w1nkuBjt1,11,1,7,2,1,Strong
3DvI%^Q,7,3,1,1,2,Medium
u&B52w4JOHBcz,13,5,4,3,1,Strong
LW&7loqgD&o9,12,3,5,2,2,Strong
rg%x&DqEg$*j,12,2,6,0,4,Medium
&kR^&lHHQ,9,4,2,0,3,Medium
rwf2!ArCl%s4j2,14,2,7,3,2,Strong
*kP6vJRdebdddkPv,16,4,10,1,1,Strong
kky9m4&VhdtTOWo#,16,4,8,2,2,Strong
LLHuk*s*9K!%jtwK,16,5,6,1,4,Strong
fOW8f#37dfgaHF,14,4,6,3,1,Strong
SRlU%J^tZWpE,12,7,3,0,2,Medium
tI$DPVgUNvWf,12,7,4,0,1,Medium
f8g0AE06Tc^xqi,14,3,6,4,1,Strong
IgpYG^,6,3,2,0,1,Medium
^aHHw8@,7,2,2,1,2,Medium
%yWy^iZIF,9,4,3,0,2,Medium
isZLv%N0,8,3,3,1,1,Strong
ucF1qV^3Bn,10,3,4,2,1,Strong
Gk7fXLXuTV,10,6,3,1,0,Medium
fxZDVR*xLy,10,5,4,0,1,Medium
k8WN0J,6,3,1,2,0,Medium
$^#cCnVE#%,10,3,2,0,5,Medium
JQr7hReL,8,4,3,1,0,Medium
hLEABATy^GOpYCsn,16,10,5,0,1,Medium
m6^7p*g,7,0,3,2,2,Medium
zElz@BrZPCf0ejk,15,5,8,1,1,Strong
#@PXm7#0^bbxAdd,15,3,6,2,4,Strong
nQ1oq^bFWQ8@HKp,15,6,5,2,2,Strong
aBYVSrhjNjp^,12,5,6,0,1,Medium
Kn*LCDY^9Rdr0yvu,16,6,6,2,2,Strong
#sjE5JQR1,9,4,2,2,1,Strong
lGeLq%&,7,2,3,0,2,Medium
fUcRE@Y23f%m,12,4,4,2,2,Strong
q2cfyh%,7,0,5,1,1,Medium
UXYldXt6j,9,4,4,1,0,Medium
BmwBGRTg3$x,11,5,4,1,1,Strong
n!!2sA^HLfoE,12,4,4,1,3,Strong
a^5yRME9^r,10,3,3,2,2,Strong
fBDVpgnV5cg#,12,4,6,1,1,Strong
iLKxc5GvZ1W,11,5,4,2,0,Medium
L6l%Ls&UXFsQnLc#,16,7,5,1,3,Strong
ywynxCLs3Z,10,3,6,1,0,Medium
h0c8tYp61d4wBND,15,4,6,5,0,Medium
CPUF%rcKaS0ps3,14,6,5,2,1,Strong
dsZT*s3IlWW,11,5,4,1,1,Strong
0jBb92msy^O,11,2,5,3,1,Strong
RpGyIZ*tEN$Ifdv,15,7,6,0,2,Medium
Caa$3YXihoX#z,13,4,6,1,2,Strong
kyQdgiW,7,2,5,0,0,Weak
hJkLjPg60w%z40,14,3,6,4,1,Strong
sgVCJIc@44KYuh5r,16,6,6,3,1,Strong
0qrScl!8Xgui,12,2,7,2,1,Strong
cY^&Hiyzz6,10,2,5,1,2,Strong
lqOTvzSZn,9,4,5,0,0,Medium
*k7bAvnkuaWoC,13,3,8,1,1,Strong
E$Oq7@*SWpyB,12,5,3,1,3,Strong
j*LNHgvPgsYL$,13,6,5,0,2,Medium
m3JKgE,6,3,2,1,0,Medium
AGnY8&ns7@$vx,13,3,5,2,3,Strong
bul!&xn,7,0,5,0,2,Weak
yH%1v*R!4D2D*Fo$,16,5,3,3,5,Strong
*O0dRD5c,8,3,2,2,1,Strong
*2Zp69hZ@EZ%s,13,4,3,3,3,Strong
UaW*sk,6,2,3,0,1,Medium
vxCSPulYUbQ*5nHZ,16,8,6,1,1,Strong
tj%wjrPY6f&IE3*,15,4,6,2,3,Strong
*cuqeQeD*3,10,2,5,1,2,Strong
G#LqMR$ikKS5*#6,15,6,3,2,4,Strong
4lTwE*,6,2,2,1,1,Medium
5X9z*xd5JWji,12,3,5,3,1,Strong
7@&@X*t3#@tqO%z@,16,2,4,2,8,Strong
&O^aZx,6,2,2,0,2,Medium
EVgIdUXWQ6edpvJ*,16,8,6,1,1,Strong
RVIGx^Y6,8,5,1,1,1,Strong
YzrTLxFr&IYCy*n,15,7,6,0,2,Medium
ZvHkPx&R9wR,11,5,4,1,1,Strong
vvZCCR^VnC#n,12,6,4,0,2,Medium
YVUd!%HXPcP!KH,14,9,2,0,3,Medium
ayNp$jo99,9,1,5,2,1,Strong
gz%QEIel,8,3,4,0,1,Medium
AYNlPL6nPPz,11,7,3,1,0,Medium
BwUB18^,7,3,1,2,1,Medium
E25OfcI,7,3,2,2,0,Medium
nKleTw6X,8,3,4,1,0,Medium
^p^8hq9aIUqE$^S,15,4,5,2,4,Strong
urQ21hP#15&4,12,2,3,5,2,Strong
Mvr@R$RJ*R,10,5,2,0,3,Medium
2UOKw#qMpk2Qdra,15,5,7,2,1,Strong
ftNVDD,6,4,2,0,0,Weak
EqoPOiA,7,4,3,0,0,Weak
PR9e%A,6,3,1,1,1,Medium
2xmKMK%^XX!s@C25,16,6,3,3,4,Strong
4L0taqU$vVKAi^Bw,16,6,6,2,2,Strong
nryiqzsaNlhWbl,14,2,12,0,0,Medium
F1H!uA7Sd&v8Z%,14,5,3,3,3,Strong
6wxS97P,7,2,2,3,0,Medium
UI9rWtePsl,10,4,5,1,0,Medium
6WEnYgx4p8wi6B,14,4,6,4,0,Medium
4BxdPxwtB,9,3,5,1,0,Medium
vm2PjMEsEvPU,12,6,5,1,0,Medium
*AONI1p!7,9,4,1,2,2,Strong
CuYLFcQHG@ox5,13,7,4,1,1,Strong
4axw4iuhQF7^@oB,15,3,7,3,2,Strong
Pr%FqtdmrUYgy,13,4,8,0,1,Medium
efH!7%##,8,1,2,1,4,Strong
4SAV$TxE&YhfzcJ,15,7,5,1,2,Strong
EXkPo6iSuA,10,5,4,1,0,Medium
lctvSdlMz9J$yhz,15,3,10,1,1,Strong
18kA@l,6,1,2,2,1,Medium
osYgttoAup607rg,15,2,10,3,0,Medium
looWZnq,7,2,5,0,0,Weak
fpe5rR^4,8,1,4,2,1,Strong
zBeLy3WRA,9,5,3,1,0,Medium
bw6M%ntKwmlKcY,14,4,8,1,1,Strong
^rRbPrtKWqcyUSWi,16,7,8,0,1,Medium
aBSq@cmD6psJy2TP,16,6,7,2,1,Strong
UXNqBdHjtds9g2,14,5,7,2,0,Medium
Uu9D@Jh,7,3,2,1,1,Medium
h4k32c0D,8,1,3,4,0,Medium
qK^nROHu,8,4,3,0,1,Medium
aCKeFhpcUZ@5V2Ni,16,7,6,2,1,Strong
4SVK2wFG9nr,11,5,3,3,0,Medium
73aofhp$pe,10,0,7,2,1,Medium
d0Dm5ZJl!,9,3,3,2,1,Strong
2%f*b%mU,8,1,3,1,3,Strong
nsdnRh7kz$f05,13,1,8,3,1,Strong
Fg7DQkg,7,3,3,1,0,Medium
U^J!MzZwoz,10,4,4,0,2,Medium
c3xS&^,6,1,2,1,2,Medium
T522G@dApaQzzZu4,16,5,6,4,1,Strong
3Y3tkTi^Er,10,3,4,2,1,Strong
cehIZ12mNQdio,13,4,7,2,0,Medium
5!7pGe,6,1,2,2,1,Medium
HE*iIa,6,3,2,0,1,Medium
FiOwfG#eM@Y,11,5,4,0,2,Medium
^@Ciz74p1WLn0Wm,15,4,5,4,2,Strong
B!Kg!9IF,8,4,1,1,2,Strong
wP3xA$Lo5,9,3,3,2,1,Strong
iHv3rd,6,1,4,1,0,Medium
7g$6*vnl0,9,0,4,3,2,Medium
udHm*k,6,1,4,0,1,Medium
V$#5sok4c,9,1,4,2,2,Strong
#L$dj*ZHM&rup5,14,4,5,1,4,Strong
%$D4#V4b*wh,11,2,3,2,4,Strong
H*f18O,6,2,1,2,1,Medium
lxyWkMZlku$@I,13,4,7,0,2,Medium
2#t7Y9gI,8,2,2,3,1,Strong
TDpHl2,6,3,2,1,0,Medium
T2f@Fw!,7,2,2,1,2,Medium
CQWTn6YxLf,10,6,3,1,0,Medium
1KWX*FH2dI5$Nti,15,7,3,3,2,Strong
btRnXsuTF0J**,13,5,5,1,2,Strong
a#CI&Z&#,8,3,1,0,4,Medium
f3rHY9t^4,9,2,3,3,1,Strong
i2cilMjBoFTuA0n,15,5,8,2,0,Medium
B80aRxFfG,9,4,3,2,0,Medium
$mZQcvUJM@s,11,5,4,0,2,Medium
pm2OeyLJd1,10,3,5,2,0,Medium
i89i%qH&*f**,12,1,4,2,5,Strong
Z7smIk,6,2,3,1,0,Medium
I0%nCPxYWH*2&,13,6,2,2,3,Strong
FY4N#WNlPRHOgop,15,9,4,1,1,Strong
rxh9UFWfSoj8k2h,15,4,8,3,0,Medium
&YA1OF0qm,9,4,2,2,1,Strong
HPVhW!agdMrM^G,14,7,5,0,2,Medium
gLWWJ33@,8,4,1,2,1,Strong
gP3HubNO2U!4,12,5,3,3,1,Strong
&d5NOCy#d2q,11,3,4,2,2,Strong
VHZWqx1RL,9,6,2,1,0,Medium
nYQSDg,6,4,2,0,0,Weak
2uxpwt,6,0,5,1,0,Weak
x5298NZrOi,10,3,3,4,0,Medium
dnkwJmlV#G&%,12,3,6,0,3,Medium
Xha&bn8%Y9@qzkwT,16,3,8,2,3,Strong
bI5r0Hv2jsovg,13,2,8,3,0,Medium
^GD9RD3SX,9,6,0,2,1,Medium
g7SvVH$wNqpD#P,14,6,5,1,2,Strong
UIge2GNVK7,10,6,2,2,0,Medium
szjoryt5K&!,11,1,7,1,2,Strong
k54YAFLv!vdy&Wvj,16,5,7,2,2,Strong
Tb*hiXFfGQyeX,13,6,6,0,1,Medium
DP*#sIDQDNben$i,15,7,5,0,3,Medium
48#K$i2SwJGG,12,5,2,3,2,Strong
UHH2g&A&Ui8B5nbP,16,7,4,3,2,Strong
ps&6#$G&X,9,2,2,1,4,Strong
2^$thNO9r9nJ5rG,15,4,5,4,2,Strong
Del*WGwIqAC5,12,6,4,1,1,Strong
%EEnto@d,8,2,4,0,2,Medium
uAw%$gBvspfo,12,2,8,0,2,Medium
xDwaci,6,1,5,0,0,Weak
X73Wofd$9XpbkL,14,4,6,3,1,Strong
VXlKhELOF,9,7,2,0,0,Medium
k$g9J1ryON0Omeaz,16,4,8,3,1,Strong
6ZxaVJ,6,3,2,1,0,Medium
W4jQcf33X2I,11,4,3,4,0,Medium
jbYVMll,7,3,4,0,0,Weak
Ka5*PmZI8,9,4,2,2,1,Strong
%bVy31,6,1,2,2,1,Medium
zLsW&ZuX6b^D*3,14,5,4,2,3,Strong
%p8^!jUdV2xU6j,14,3,5,3,3,Strong
6WcEqclq3T6%xWb,15,4,7,3,1,Strong
kaVrj7UQ$O,10,4,4,1,1,Strong
6!6Llr!,7,1,2,2,2,Medium
Xxjm*sJlZr,10,3,6,0,1,Medium
Iwus9Q$j5gHU,12,4,5,2,1,Strong
qnSLV!fO3#,10,4,3,1,2,Strong
asqU@acg,8,1,6,0,1,Medium
ZCR0Jg6,7,4,1,2,0,Medium
BrJ8w#uP,8,3,3,1,1,Strong
ahl!%%xuH5,10,1,5,1,3,Strong
lr1jX*Va9,9,2,4,2,1,Strong
hShloVa,7,2,5,0,0,Weak
w7nlOx2kfUD4grz,15,3,9,3,0,Medium
e7j3Ob,6,1,3,2,0,Medium
9Gl#NP,6,3,1,1,1,Medium
Ds%70B0SqG,10,4,2,3,1,Strong
8o0l$s8zN&,10,1,4,3,2,Strong
BjeHQft,7,3,4,0,0,Weak
ZCxi7LBU4G^,11,6,2,2,1,Strong
Rt1^hZI*3,9,3,2,2,2,Strong
25yCGM,6,3,1,2,0,Medium
#yMwODWMZr*gQQ,14,8,4,0,2,Medium
54JgYU,6,3,1,2,0,Medium
QTkUYuAxbe*QP,13,7,5,0,1,Medium
f@NdnDm,7,2,4,0,1,Medium
m7#Xmcs,7,1,4,1,1,Medium
L4XgwvdZVDO,11,6,4,1,0,Medium
kwakrx4OTh,10,2,7,1,0,Medium
u1gkOo,6,1,4,1,0,Medium
BxSH4Re4Kf@,11,5,3,2,1,Strong
4yq7gTU,7,2,3,2,0,Medium
dDigbYKBMbApaJSq,16,8,8,0,0,Medium
B2f#Ki,6,2,2,1,1,Medium
*MmCRw*,7,3,2,0,2,Medium
SFVRsfUXjeh,11,6,5,0,0,Medium
!bcY2hj*X49H,12,3,4,3,2,Strong
E9#IqB,6,3,1,1,1,Medium
yKNVCcaY!6WuQPbB,16,9,5,1,1,Strong
Sbj@BWOG,8,5,2,0,1,Medium
YxKn6&Gx,8,3,3,1,1,Strong
hxtCCNQmibef1fT,15,5,9,1,0,Medium
a*0$GFbto,9,2,4,1,2,Strong
XY4CraK,7,4,2,1,0,Medium
Q6Q*5Pxlv2NvYfDE,16,7,5,3,1,Strong
wbs6VT%xjG77,12,3,5,3,1,Strong
qa4olS,6,1,4,1,0,Medium
Caxy3vmv,8,1,6,1,0,Medium
T^p%!aU,7,2,2,0,3,Medium
m3no#3B&VQkO78v,15,4,5,4,2,Strong
W%fgRE9,7,3,2,1,1,Medium
BiWt$9w$JQNgm$,14,5,5,1,3,Strong
v9uagwBL,8,2,5,1,0,Medium
qDrthGlJJ!JBq^,14,6,6,0,2,Medium
i1Uzbqb,7,1,5,1,0,Medium
eAgJtCqq,8,3,5,0,0,Medium
@TqnFVyfq#l1Q,13,4,6,1,2,Strong
0GYzah,6,2,3,1,0,Medium
D466TYm&Cqj,11,4,3,3,1,Strong
cul1j8MWfu^BpdHF,16,5,8,2,1,Strong
JiXYutkzp1!b#h,14,3,8,1,2,Strong
ZV1Y6fXDYtk,11,6,3,2,0,Medium
$YUUhMKGMe43YzN,15,9,3,2,1,Strong
yC1SbMWv6yqvXr3,15,5,7,3,0,Medium
lLsGB0r,7,3,3,1,0,Medium
PItm$$f&@m0,11,2,4,1,4,Strong
ENkWHCzR,8,6,2,0,0,Medium
rK6xUhU&E,9,4,3,1,1,Strong
FHzeEjkU^,9,4,4,0,1,Medium
ZdVIV7XI@Q6ZI,13,9,1,2,1,Strong
QzUE3V8IYX#Wi3AJ,16,10,2,3,1,Strong
kwRKVc&b,8,3,4,0,1,Medium
QN$lRxZsPVWYM5x,15,9,4,1,1,Strong
Eb6JrEV,7,4,2,1,0,Medium
pIxXpKgH*zFu1oM,15,6,7,1,1,Strong
NBh50C6Cncd,11,4,4,3,0,Medium
